"id","start_date","expiry_date"
"account_intrastat.account_intrastat_transaction_1","","2022-01-01"
"account_intrastat.account_intrastat_transaction_2","","2022-01-01"
"account_intrastat.account_intrastat_transaction_3","","2022-01-01"
"account_intrastat.account_intrastat_transaction_4","","2022-01-01"
"account_intrastat.account_intrastat_transaction_5","","2022-01-01"
"account_intrastat.account_intrastat_transaction_6","","2022-01-01"
"account_intrastat.account_intrastat_transaction_7","","2022-01-01"
"account_intrastat.account_intrastat_transaction_8","","2022-01-01"
"account_intrastat.account_intrastat_transaction_9","","2022-01-01"
"account_intrastat.account_intrastat_transaction_11","2022-01-01",""
"account_intrastat.account_intrastat_transaction_12","2022-01-01",""
"account_intrastat.account_intrastat_transaction_21","2022-01-01",""
"account_intrastat.account_intrastat_transaction_22","2022-01-01",""
"account_intrastat.account_intrastat_transaction_23","2022-01-01",""
"account_intrastat.account_intrastat_transaction_31","2022-01-01",""
"account_intrastat.account_intrastat_transaction_32","2022-01-01",""
"account_intrastat.account_intrastat_transaction_33","2022-01-01",""
"account_intrastat.account_intrastat_transaction_34","2022-01-01",""
"account_intrastat.account_intrastat_transaction_41","2022-01-01",""
"account_intrastat.account_intrastat_transaction_42","2022-01-01",""
"account_intrastat.account_intrastat_transaction_51","2022-01-01",""
"account_intrastat.account_intrastat_transaction_52","2022-01-01",""
"account_intrastat.account_intrastat_transaction_60","2022-01-01",""
"account_intrastat.account_intrastat_transaction_71","2022-01-01",""
"account_intrastat.account_intrastat_transaction_72","2022-01-01",""
"account_intrastat.account_intrastat_transaction_80","2022-01-01",""
"account_intrastat.account_intrastat_transaction_91","2022-01-01",""
"account_intrastat.account_intrastat_transaction_99","2022-01-01",""
"account_intrastat.commodity_code_2018_15091010","","2022-01-01"
"account_intrastat.commodity_code_2018_15091020","","2022-01-01"
"account_intrastat.commodity_code_2018_15091080","","2022-01-01"
"account_intrastat.commodity_code_2018_15100010","","2022-01-01"
"account_intrastat.commodity_code_2018_15100090","","2022-01-01"
"account_intrastat.commodity_code_2018_25183000","","2022-01-01"
"account_intrastat.commodity_code_2018_28444010","","2022-01-01"
"account_intrastat.commodity_code_2018_28444020","","2022-01-01"
"account_intrastat.commodity_code_2018_28444030","","2022-01-01"
"account_intrastat.commodity_code_2018_28444080","","2022-01-01"
"account_intrastat.commodity_code_2018_29033100","","2022-01-01"
"account_intrastat.commodity_code_2018_29033911","","2022-01-01"
"account_intrastat.commodity_code_2018_29033915","","2022-01-01"
"account_intrastat.commodity_code_2018_29033919","","2022-01-01"
"account_intrastat.commodity_code_2018_29033921","","2022-01-01"
"account_intrastat.commodity_code_2018_29033923","","2022-01-01"
"account_intrastat.commodity_code_2018_29033924","","2022-01-01"
"account_intrastat.commodity_code_2018_29033925","","2022-01-01"
"account_intrastat.commodity_code_2018_29033926","","2022-01-01"
"account_intrastat.commodity_code_2018_29033927","","2022-01-01"
"account_intrastat.commodity_code_2018_29033928","","2022-01-01"
"account_intrastat.commodity_code_2018_29033929","","2022-01-01"
"account_intrastat.commodity_code_2018_29033931","","2022-01-01"
"account_intrastat.commodity_code_2018_29033935","","2022-01-01"
"account_intrastat.commodity_code_2018_29033939","","2022-01-01"
"account_intrastat.commodity_code_2018_29033980","","2022-01-01"
"account_intrastat.commodity_code_2018_29096000","","2022-01-01"
"account_intrastat.commodity_code_2018_29313100","","2022-01-01"
"account_intrastat.commodity_code_2018_29313200","","2022-01-01"
"account_intrastat.commodity_code_2018_29313300","","2022-01-01"
"account_intrastat.commodity_code_2018_29313400","","2022-01-01"
"account_intrastat.commodity_code_2018_29313500","","2022-01-01"
"account_intrastat.commodity_code_2018_29313600","","2022-01-01"
"account_intrastat.commodity_code_2018_29313700","","2022-01-01"
"account_intrastat.commodity_code_2018_29313800","","2022-01-01"
"account_intrastat.commodity_code_2018_29313920","","2022-01-01"
"account_intrastat.commodity_code_2018_29313930","","2022-01-01"
"account_intrastat.commodity_code_2018_29313950","","2022-01-01"
"account_intrastat.commodity_code_2018_29313960","","2022-01-01"
"account_intrastat.commodity_code_2018_29313990","","2022-01-01"
"account_intrastat.commodity_code_2018_29397100","","2022-01-01"
"account_intrastat.commodity_code_2018_30021100","","2022-01-01"
"account_intrastat.commodity_code_2018_30021900","","2022-01-01"
"account_intrastat.commodity_code_2018_30023000","","2022-01-01"
"account_intrastat.commodity_code_2018_30029050","","2022-01-01"
"account_intrastat.commodity_code_2018_30062000","","2022-01-01"
"account_intrastat.commodity_code_2018_3051000","","2022-01-01"
"account_intrastat.commodity_code_2018_3072100","","2022-01-01"
"account_intrastat.commodity_code_2018_3072900","","2022-01-01"
"account_intrastat.commodity_code_2018_33012941","","2022-01-01"
"account_intrastat.commodity_code_2018_34021110","","2022-01-01"
"account_intrastat.commodity_code_2018_34021190","","2022-01-01"
"account_intrastat.commodity_code_2018_34021200","","2022-01-01"
"account_intrastat.commodity_code_2018_34021300","","2022-01-01"
"account_intrastat.commodity_code_2018_34021900","","2022-01-01"
"account_intrastat.commodity_code_2018_34022020","","2022-01-01"
"account_intrastat.commodity_code_2018_34022090","","2022-01-01"
"account_intrastat.commodity_code_2018_36030020","","2022-01-01"
"account_intrastat.commodity_code_2018_36030030","","2022-01-01"
"account_intrastat.commodity_code_2018_36030040","","2022-01-01"
"account_intrastat.commodity_code_2018_36030050","","2022-01-01"
"account_intrastat.commodity_code_2018_36030060","","2022-01-01"
"account_intrastat.commodity_code_2018_36030080","","2022-01-01"
"account_intrastat.commodity_code_2018_38160000","","2022-01-01"
"account_intrastat.commodity_code_2018_38220000","","2022-01-01"
"account_intrastat.commodity_code_2018_38247100","","2022-01-01"
"account_intrastat.commodity_code_2018_38247200","","2022-01-01"
"account_intrastat.commodity_code_2018_38247300","","2022-01-01"
"account_intrastat.commodity_code_2018_38247400","","2022-01-01"
"account_intrastat.commodity_code_2018_38247500","","2022-01-01"
"account_intrastat.commodity_code_2018_38247600","","2022-01-01"
"account_intrastat.commodity_code_2018_38247700","","2022-01-01"
"account_intrastat.commodity_code_2018_38247810","","2022-01-01"
"account_intrastat.commodity_code_2018_38247820","","2022-01-01"
"account_intrastat.commodity_code_2018_38247830","","2022-01-01"
"account_intrastat.commodity_code_2018_38247840","","2022-01-01"
"account_intrastat.commodity_code_2018_38247880","","2022-01-01"
"account_intrastat.commodity_code_2018_38247890","","2022-01-01"
"account_intrastat.commodity_code_2018_38247900","","2022-01-01"
"account_intrastat.commodity_code_2018_38249956","","2022-01-01"
"account_intrastat.commodity_code_2018_38249957","","2022-01-01"
"account_intrastat.commodity_code_2018_38249958","","2022-01-01"
"account_intrastat.commodity_code_2018_39072011","","2022-01-01"
"account_intrastat.commodity_code_2018_39072020","","2022-01-01"
"account_intrastat.commodity_code_2018_39072091","","2022-01-01"
"account_intrastat.commodity_code_2018_39072099","","2022-01-01"
"account_intrastat.commodity_code_2018_40151100","","2022-01-01"
"account_intrastat.commodity_code_2018_4031011","","2022-01-01"
"account_intrastat.commodity_code_2018_4031013","","2022-01-01"
"account_intrastat.commodity_code_2018_4031019","","2022-01-01"
"account_intrastat.commodity_code_2018_4031031","","2022-01-01"
"account_intrastat.commodity_code_2018_4031033","","2022-01-01"
"account_intrastat.commodity_code_2018_4031039","","2022-01-01"
"account_intrastat.commodity_code_2018_4031051","","2022-01-01"
"account_intrastat.commodity_code_2018_4031053","","2022-01-01"
"account_intrastat.commodity_code_2018_4031059","","2022-01-01"
"account_intrastat.commodity_code_2018_4031091","","2022-01-01"
"account_intrastat.commodity_code_2018_4031093","","2022-01-01"
"account_intrastat.commodity_code_2018_4031099","","2022-01-01"
"account_intrastat.commodity_code_2018_4100000","","2022-01-01"
"account_intrastat.commodity_code_2018_44014010","","2022-01-01"
"account_intrastat.commodity_code_2018_44014090","","2022-01-01"
"account_intrastat.commodity_code_2018_44111290","","2022-01-01"
"account_intrastat.commodity_code_2018_44111390","","2022-01-01"
"account_intrastat.commodity_code_2018_44111490","","2022-01-01"
"account_intrastat.commodity_code_2018_44119310","","2022-01-01"
"account_intrastat.commodity_code_2018_44119390","","2022-01-01"
"account_intrastat.commodity_code_2018_44123300","","2022-01-01"
"account_intrastat.commodity_code_2018_44129410","","2022-01-01"
"account_intrastat.commodity_code_2018_44129490","","2022-01-01"
"account_intrastat.commodity_code_2018_44129930","","2022-01-01"
"account_intrastat.commodity_code_2018_44129940","","2022-01-01"
"account_intrastat.commodity_code_2018_44129950","","2022-01-01"
"account_intrastat.commodity_code_2018_44129985","","2022-01-01"
"account_intrastat.commodity_code_2018_44140010","","2022-01-01"
"account_intrastat.commodity_code_2018_44140090","","2022-01-01"
"account_intrastat.commodity_code_2018_44181010","","2022-01-01"
"account_intrastat.commodity_code_2018_44181050","","2022-01-01"
"account_intrastat.commodity_code_2018_44181090","","2022-01-01"
"account_intrastat.commodity_code_2018_44182010","","2022-01-01"
"account_intrastat.commodity_code_2018_44182050","","2022-01-01"
"account_intrastat.commodity_code_2018_44182080","","2022-01-01"
"account_intrastat.commodity_code_2018_44186000","","2022-01-01"
"account_intrastat.commodity_code_2018_44189910","","2022-01-01"
"account_intrastat.commodity_code_2018_44189990","","2022-01-01"
"account_intrastat.commodity_code_2018_44199010","","2022-01-01"
"account_intrastat.commodity_code_2018_44199090","","2022-01-01"
"account_intrastat.commodity_code_2018_44201011","","2022-01-01"
"account_intrastat.commodity_code_2018_44201019","","2022-01-01"
"account_intrastat.commodity_code_2018_44219991","","2022-01-01"
"account_intrastat.commodity_code_2018_49051000","","2022-01-01"
"account_intrastat.commodity_code_2018_49059100","","2022-01-01"
"account_intrastat.commodity_code_2018_49059900","","2022-01-01"
"account_intrastat.commodity_code_2018_55011000","","2022-01-01"
"account_intrastat.commodity_code_2018_57032012","","2022-01-01"
"account_intrastat.commodity_code_2018_57032018","","2022-01-01"
"account_intrastat.commodity_code_2018_57032092","","2022-01-01"
"account_intrastat.commodity_code_2018_57032098","","2022-01-01"
"account_intrastat.commodity_code_2018_57033012","","2022-01-01"
"account_intrastat.commodity_code_2018_57033018","","2022-01-01"
"account_intrastat.commodity_code_2018_57033082","","2022-01-01"
"account_intrastat.commodity_code_2018_57033088","","2022-01-01"
"account_intrastat.commodity_code_2018_58021100","","2022-01-01"
"account_intrastat.commodity_code_2018_58021900","","2022-01-01"
"account_intrastat.commodity_code_2018_62011100","","2022-01-01"
"account_intrastat.commodity_code_2018_62011210","","2022-01-01"
"account_intrastat.commodity_code_2018_62011290","","2022-01-01"
"account_intrastat.commodity_code_2018_62011310","","2022-01-01"
"account_intrastat.commodity_code_2018_62011390","","2022-01-01"
"account_intrastat.commodity_code_2018_62011900","","2022-01-01"
"account_intrastat.commodity_code_2018_62019100","","2022-01-01"
"account_intrastat.commodity_code_2018_62019200","","2022-01-01"
"account_intrastat.commodity_code_2018_62019300","","2022-01-01"
"account_intrastat.commodity_code_2018_62019900","","2022-01-01"
"account_intrastat.commodity_code_2018_62021100","","2022-01-01"
"account_intrastat.commodity_code_2018_62021210","","2022-01-01"
"account_intrastat.commodity_code_2018_62021290","","2022-01-01"
"account_intrastat.commodity_code_2018_62021310","","2022-01-01"
"account_intrastat.commodity_code_2018_62021390","","2022-01-01"
"account_intrastat.commodity_code_2018_62021900","","2022-01-01"
"account_intrastat.commodity_code_2018_62029100","","2022-01-01"
"account_intrastat.commodity_code_2018_62029200","","2022-01-01"
"account_intrastat.commodity_code_2018_62029300","","2022-01-01"
"account_intrastat.commodity_code_2018_62029900","","2022-01-01"
"account_intrastat.commodity_code_2018_68129200","","2022-01-01"
"account_intrastat.commodity_code_2018_68129300","","2022-01-01"
